id,text
1,Занятия весь год
2,Углублённый подход к темам
3,Небольшие группы
4,"Местные преподаватели, которые всегда на связи"
5,"Постоянная площадка, где все могут приходить в любое время, общаться, учиться и учить, читать книги, смотреть кино и слушать интересные лекции"
6,Занятия только в каникулы
7,Много разных занятий сразу
8,"Небольшие группы, но много участников сразу"
9,"Преподаватели со всей России, вдохновляющие своим примером"
10,"Компания совершенно разных талантливых людей, с которыми можно воплотить самую дерзкую идею"